number,sharpe_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_multiply,params_bb_timeperiod,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
107,0.3966394066473644,0.060276357991827755,2024-01-16 16:33:42.921690,2024-01-16 16:33:43.055182,0 days 00:00:00.133492,2.4777641137587483,20,2.2784997572585333,23,2,COMPLETE
108,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:43.056187,2024-01-16 16:33:43.174008,0 days 00:00:00.117821,2.357201073162484,22,2.155578096316627,22,2,COMPLETE
109,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:43.174999,2024-01-16 16:33:43.306647,0 days 00:00:00.131648,2.3779131873343293,19,2.1709237618952724,26,2,COMPLETE
110,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:43.307713,2024-01-16 16:33:43.435030,0 days 00:00:00.127317,2.31728390450497,22,2.034983496114655,20,2,COMPLETE
111,-0.03679525924197302,-0.012453905817682197,2024-01-16 16:33:43.436031,2024-01-16 16:33:43.552368,0 days 00:00:00.116337,2.4655710133768336,23,2.0149871048326804,22,2,COMPLETE
112,-0.5083143744880645,-0.17242568978160605,2024-01-16 16:33:43.553366,2024-01-16 16:33:43.669687,0 days 00:00:00.116321,2.349938165023364,21,2.2368097546102907,24,2,COMPLETE
113,0.41033240764749335,0.06672562348787948,2024-01-16 16:33:43.670688,2024-01-16 16:33:43.845373,0 days 00:00:00.174685,2.3855629347627647,19,2.155578096316627,22,2,COMPLETE
114,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:43.846369,2024-01-16 16:33:43.942719,0 days 00:00:00.096350,2.3073135946800383,22,2.0560963739015583,23,2,COMPLETE
115,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:43.943718,2024-01-16 16:33:44.058052,0 days 00:00:00.114334,2.3854868269093985,21,2.0223490419679484,26,2,COMPLETE
116,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:44.059087,2024-01-16 16:33:44.199683,0 days 00:00:00.140596,2.4307796574013167,20,2.1939264284769444,23,2,COMPLETE
117,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:44.200680,2024-01-16 16:33:44.298030,0 days 00:00:00.097350,2.31728390450497,23,2.106746189071255,25,2,COMPLETE
118,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:44.299028,2024-01-16 16:33:44.415362,0 days 00:00:00.116334,2.4452886432654357,23,2.1939264284769444,22,2,COMPLETE
119,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:44.416359,2024-01-16 16:33:44.523653,0 days 00:00:00.107294,2.4784074981147453,24,2.1501906876259915,26,2,COMPLETE
120,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:44.524653,2024-01-16 16:33:44.625004,0 days 00:00:00.100351,2.4909584590734,22,2.155578096316627,22,2,COMPLETE
121,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:44.626011,2024-01-16 16:33:44.751650,0 days 00:00:00.125639,2.4839510492171364,19,2.0673560498215564,22,2,COMPLETE
122,-0.4447568921379218,-0.12613818848760844,2024-01-16 16:33:44.752684,2024-01-16 16:33:44.903045,0 days 00:00:00.150361,2.448779462032286,19,2.2368097546102907,21,2,COMPLETE
123,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:44.904048,2024-01-16 16:33:45.026293,0 days 00:00:00.122245,2.494603906522403,21,2.0223490419679484,21,2,COMPLETE
124,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:45.026293,2024-01-16 16:33:45.174128,0 days 00:00:00.147835,2.4655710133768336,20,2.095280420400577,25,2,COMPLETE
125,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:45.175176,2024-01-16 16:33:45.285089,0 days 00:00:00.109913,2.4655710133768336,21,2.071944196504805,21,2,COMPLETE
126,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:45.285089,2024-01-16 16:33:45.390386,0 days 00:00:00.105297,2.3148543412852867,20,2.0149871048326804,23,2,COMPLETE
127,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:45.391418,2024-01-16 16:33:45.501700,0 days 00:00:00.110282,2.475092465347124,21,2.009514217648841,25,2,COMPLETE
128,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:45.502665,2024-01-16 16:33:45.628876,0 days 00:00:00.126211,2.4655710133768336,19,2.034983496114655,23,2,COMPLETE
129,0.35067462249799053,0.05457654822468712,2024-01-16 16:33:45.629873,2024-01-16 16:33:45.755615,0 days 00:00:00.125742,2.4861382777043994,19,2.2368097546102907,23,2,COMPLETE
130,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:45.756614,2024-01-16 16:33:45.879319,0 days 00:00:00.122705,2.4839510492171364,19,2.0673560498215564,26,2,COMPLETE
131,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:45.880323,2024-01-16 16:33:46.050757,0 days 00:00:00.170434,2.4777641137587483,19,2.1939264284769444,23,2,COMPLETE
132,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:46.051753,2024-01-16 16:33:46.201379,0 days 00:00:00.149626,2.435913199305629,20,2.1483897832388514,22,2,COMPLETE
133,-0.7947744396979064,-0.21278699054267236,2024-01-16 16:33:46.202376,2024-01-16 16:33:46.330063,0 days 00:00:00.127687,2.3868291999236892,20,2.0573030659050957,20,2,COMPLETE
134,-0.2885060700086327,-0.13590781539896937,2024-01-16 16:33:46.332070,2024-01-16 16:33:46.493695,0 days 00:00:00.161625,2.3094611676060945,19,2.106396219599662,20,2,COMPLETE
135,-0.6308814894001378,-0.2007188285924913,2024-01-16 16:33:46.495693,2024-01-16 16:33:46.619215,0 days 00:00:00.123522,2.3225599330512905,20,2.1939264284769444,26,2,COMPLETE
136,-0.5083143744880645,-0.17242568978160605,2024-01-16 16:33:46.620655,2024-01-16 16:33:46.731706,0 days 00:00:00.111051,2.4251100147804827,21,2.2361351018108824,25,2,COMPLETE
137,0.3966394066473644,0.060276357991827755,2024-01-16 16:33:46.732710,2024-01-16 16:33:46.910325,0 days 00:00:00.177615,2.3708334630961456,19,2.034983496114655,21,2,COMPLETE
