,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
1269,2021-03-30,3197000,1253544000,392.5,396.0,387.5,395.0,4.5,3154
1270,2021-03-31,2696000,1058098000,395.5,397.0,390.0,391.0,-4.0,2681
1271,2021-04-01,3120000,1224257000,395.0,398.0,389.0,389.5,-1.5,3002
1272,2021-04-06,3614000,1415656000,393.0,396.5,389.5,390.0,0.5,3433
1273,2021-04-07,5117000,1973622000,392.5,394.5,382.5,384.5,-5.5,5958
1274,2021-04-08,3006000,1157108000,384.5,388.0,381.0,385.5,1.0,3185
1275,2021-04-09,4806000,1828475000,386.5,387.5,378.5,379.0,-6.5,5321
1276,2021-04-12,2128000,808512000,380.0,382.0,377.5,381.5,2.5,2385
1277,2021-04-13,3377000,1276134000,380.0,381.5,375.0,375.5,-6.0,4271
1278,2021-04-14,5266000,1941582000,375.5,377.0,363.0,369.5,-6.0,6810
1279,2021-04-15,1962000,731512000,369.5,377.0,369.0,376.5,7.0,2415
1280,2021-04-16,3343000,1276055000,376.5,384.5,376.5,383.0,6.5,3530
1281,2021-04-19,2756000,1046892000,383.0,383.0,377.5,379.5,-3.5,2670
1282,2021-04-20,2231000,848694000,379.0,382.5,377.0,381.0,1.5,2165
1283,2021-04-21,3565000,1333718000,379.0,380.0,371.0,371.5,-9.5,4206
1284,2021-04-22,3437000,1271553000,375.5,376.5,366.5,367.5,-4.0,4395
1285,2021-04-23,1760000,651538000,367.5,372.5,366.0,372.0,4.5,1933
1286,2021-04-26,3086000,1141779000,372.0,372.5,367.0,372.0,0.0,3418
1287,2021-04-27,1583000,586616000,373.0,373.0,368.5,370.5,-1.5,1808
1288,2021-04-28,3608000,1320783000,371.0,371.0,364.0,365.0,-5.5,4747
1289,2021-04-29,4646000,1713008000,364.0,374.0,363.0,366.5,1.5,4337
1290,2021-05-03,10889000,3747631000,330.0,356.0,330.0,350.0,-16.5,10181
1291,2021-05-04,11984000,3916181000,345.0,347.0,315.5,322.0,-28.0,11602
1292,2021-05-05,6232000,2044993000,321.0,339.0,320.0,326.0,4.0,6408
1293,2021-05-06,2528000,821728000,325.0,329.0,321.5,326.0,0.0,2749
1294,2021-05-07,2972000,994813000,331.0,339.0,327.0,337.5,11.5,3031
1295,2021-05-10,2448000,824347000,340.0,341.0,329.5,338.5,1.0,2660
1296,2021-05-11,4580000,1482288000,323.0,331.5,318.0,322.5,-16.0,4689
1297,2021-05-12,8599000,2752079000,320.0,335.0,300.0,328.5,6.0,8043
1298,2021-05-13,5056000,1649074000,318.5,338.0,316.0,322.5,-6.0,5650
1299,2021-05-14,7412000,2296714000,323.5,331.0,300.0,302.5,-20.0,7749
1300,2021-05-17,5156000,1521652000,277.0,304.5,276.5,300.0,-2.5,5142
1301,2021-05-18,4208000,1301998000,305.0,317.0,298.0,314.0,14.0,3770
1302,2021-05-19,3470000,1080023000,309.0,316.5,304.0,314.0,0.0,3090
1303,2021-05-20,5713000,1728894000,307.0,310.0,299.0,299.0,-15.0,5491
1304,2021-05-21,5893000,1801694000,301.0,311.0,300.5,307.5,8.5,3832
1305,2021-05-24,2390000,741018000,304.0,314.0,303.0,312.5,5.0,2225
1306,2021-05-25,3697000,1198997000,315.0,330.0,314.5,328.0,15.5,3742
1307,2021-05-26,4857000,1591210000,334.0,338.0,321.0,323.0,-5.0,4706
1308,2021-05-27,5741000,1839531000,320.0,324.0,315.5,321.0,-2.0,3073
1309,2021-05-28,3099000,1010883000,324.0,329.5,322.5,326.0,5.0,2827
1310,2021-05-31,2150000,700698000,328.0,329.0,323.0,326.0,0.0,2306
1311,2021-06-01,3410000,1126835000,328.0,334.0,327.0,329.0,3.0,2749
1312,2021-06-02,3293000,1063830000,329.0,330.0,320.0,320.0,-9.0,3528
1313,2021-06-03,1873000,611196000,322.0,329.0,322.0,327.0,7.0,1730
1314,2021-06-04,1014000,330610000,324.0,328.0,323.0,326.5,-0.5,1081
1315,2021-06-07,1924000,622481000,327.5,328.0,318.0,325.0,-1.5,1914
1316,2021-06-08,2078000,684792000,328.0,331.0,326.0,330.0,5.0,2024
1317,2021-06-09,2588000,862547000,332.0,336.0,330.0,332.0,2.0,2623
1318,2021-06-10,16736000,6000580000,336.0,365.0,334.5,358.0,26.0,12080
1319,2021-06-11,13577000,5005843000,360.5,375.5,357.5,373.5,15.5,11785
1320,2021-06-15,6747000,2525568000,379.0,384.5,368.5,376.0,2.5,6776
1321,2021-06-16,5028000,1858728000,377.0,380.0,363.0,364.5,-11.5,5352
1322,2021-06-17,3598000,1311409000,363.5,369.0,361.0,369.0,4.5,3711
1323,2021-06-18,4140000,1526610000,372.5,375.0,364.0,364.0,-5.0,3511
1324,2021-06-21,2714000,987282000,360.0,369.0,358.5,363.0,-1.0,2817
1325,2021-06-22,4615000,1705968000,365.5,374.0,365.5,368.0,5.0,3780
1326,2021-06-23,4355000,1626341000,372.0,376.0,369.0,373.5,5.5,3822
1327,2021-06-24,3943000,1457810000,375.0,378.0,365.0,366.0,-7.5,3776
1328,2021-06-25,2446000,899608000,368.0,372.0,364.0,364.0,-2.0,2411
1329,2021-06-28,9714000,3643193000,370.0,380.5,365.5,380.0,16.0,7890
1330,2021-06-29,6858000,2600435000,382.0,386.0,374.5,375.0,-5.0,5836
1331,2021-06-30,5995000,2280773000,382.5,388.0,375.0,375.0,0.0,5150
1332,2021-07-01,3312000,1228145000,380.0,380.0,366.0,366.0,-9.0,3158
1333,2021-07-02,2723000,1011166000,369.5,376.0,363.0,374.5,8.5,2624
1334,2021-07-05,4295000,1638008000,377.0,384.0,375.0,382.0,7.5,4283
1335,2021-07-06,3356000,1273435000,386.0,386.0,376.0,376.0,-6.0,3209
1336,2021-07-07,3985000,1474090000,368.5,373.0,366.5,371.0,5.0,3915
1337,2021-07-08,3007000,1115733000,371.0,375.0,367.5,370.0,-1.0,2710
1338,2021-07-09,4380000,1599058000,367.5,370.0,361.0,370.0,0.0,4453
1339,2021-07-12,5443000,2065066000,373.0,383.0,370.5,381.0,11.0,5141
1340,2021-07-13,5843000,2247557000,382.5,390.0,378.5,381.0,0.0,5297
1341,2021-07-14,7511000,2928776000,385.0,395.0,380.5,395.0,14.0,7967
1342,2021-07-15,5542000,2191771000,395.0,402.0,392.0,392.5,-2.5,5350
1343,2021-07-16,3298000,1283486000,391.0,395.0,385.0,390.0,-2.5,3375
1344,2021-07-19,2670000,1021550000,389.0,389.0,378.5,381.5,-8.5,3149
1345,2021-07-20,3352000,1266838000,379.0,385.5,372.5,375.0,-6.5,3763
1346,2021-07-21,2058000,776778000,380.0,383.5,372.5,376.0,1.0,2197
1347,2021-07-22,3458000,1294523000,377.5,382.0,370.0,372.5,-3.5,3612
1348,2021-07-23,3384000,1265700000,376.5,380.5,370.0,370.0,-2.5,3238
1349,2021-07-26,4563000,1660453000,369.0,370.0,361.5,363.0,-7.0,4391
